Time, H35, H70 
00:01,80.00,60.00
00:31,80.00,60.00
01:03,80.00,60.00
01:31,80.00,60.00
02:05,80.00,60.00
02:31,80.00,60.00
03:00,80.00,60.00
03:30,80.00,60.00
04:00,80.00,60.00
04:31,80.00,60.00
05:01,80.00,60.00
05:30,80.00,60.00
06:00,80.00,60.00
06:31,80.00,60.00
07:00,80.00,60.00
07:31,80.00,60.00
08:01,80.00,60.00
08:30,80.00,60.00
09:01,80.00,60.00
09:31,80.00,60.00
10:00,80.00,60.00
10:31,80.00,60.00
11:00,80.00,60.00
11:31,80.00,60.00
12:01,80.00,60.00
12:31,80.00,60.00
13:01,80.00,60.00
13:31,80.00,60.00
14:15,80.00,60.00
14:45,80.00,60.00
15:16,80.00,60.00
15:46,80.00,60.00
15:46,80.00,60.00
16:16,80.00,60.00
16:30,80.00,60.00
16:46,80.00,60.00
16:46,80.00,60.00
17:16,80.00,60.00
17:31,80.00,60.00
17:46,80.00,60.00
18:01,80.00,60.00
18:15,80.00,60.00
18:30,80.00,60.00
18:45,80.00,60.00
19:01,80.00,60.00
19:16,80.00,60.00
19:30,80.00,60.00
19:45,80.00,60.00
20:01,80.00,60.00
20:15,80.00,60.00
20:31,80.00,60.00
20:46,80.00,60.00
21:01,80.00,60.00
21:16,80.00,60.00
21:31,80.00,60.00
21:46,80.00,60.00
22:01,80.00,60.00
22:16,80.00,60.00
22:31,80.00,60.00
22:45,80.00,60.00
23:00,80.00,60.00
23:15,80.00,60.00
23:30,80.00,60.00
23:46,80.00,60.00
